Facultad,Carrera,ID_Estudiante,Brigada,Semestre,Respeto a los horarios,Disponibilidad de aulas,Facilidad para el E.I.,Bibliografía/Internet,Carga de trabajo,Ocio
FBIOM,Licenciatura en Biología,FBIOM-LIC-0043,FB9,2025-2,9,8,7,6,6,5
FBIOM,Licenciatura en Biología,FBIOM-LIC-0044,FB1,2025-2,7,5,5,9,5,5
FBIOM,Licenciatura en Biología,FBIOM-LIC-0045,FB2,2025-2,4,5,5,6,6,8
FBIOM,Licenciatura en Biología,FBIOM-LIC-0046,FB9,2025-2,6,6,6,8,4,4
FBIOM,Licenciatura en Biología,FBIOM-LIC-0047,FB4,2025-2,8,7,4,7,9,7
FBIOM,Licenciatura en Biología,FBIOM-LIC-0048,FB6,2025-2,6,7,9,9,5,8
FBIOM,Licenciatura en Biología,FBIOM-LIC-0049,FB2,2025-2,7,5,9,5,8,6
FBIOM,Licenciatura en Biología,FBIOM-LIC-0050,FB8,2025-2,9,6,6,5,7,5
FBIOM,Licenciatura en Biología,FBIOM-LIC-0051,FB4,2025-2,9,5,5,4,9,5
FBIOM,Licenciatura en Biología,FBIOM-LIC-0052,FB7,2025-2,6,7,4,5,9,9
FBIOM,Licenciatura en Biología,FBIOM-LIC-0053,FB3,2025-2,4,6,7,5,9,7
FBIOM,Licenciatura en Biología,FBIOM-LIC-0054,FB8,2025-2,9,9,4,7,6,6
FBIOM,Licenciatura en Biología,FBIOM-LIC-0055,FB2,2025-2,6,5,5,6,8,6
FBIOM,Licenciatura en Biología,FBIOM-LIC-0056,FB2,2025-2,8,6,5,5,8,5
FBIOM,Licenciatura en Biología,FBIOM-LIC-0057,FB9,2025-2,4,4,7,8,4,9
FBIOM,Licenciatura en Biología,FBIOM-LIC-0058,FB1,2025-2,5,7,6,9,9,6
FBIOM,Licenciatura en Biología,FBIOM-LIC-0059,FB2,2025-2,6,5,5,8,7,6
FBIOM,Licenciatura en Biología,FBIOM-LIC-0060,FB3,2025-2,8,7,8,8,6,5
FBIOM,Licenciatura en Biología,FBIOM-LIC-0061,FB3,2025-2,6,9,4,4,9,7
FBIOM,Licenciatura en Biología,FBIOM-LIC-0062,FB4,2025-2,6,9,7,6,9,4
FBIOM,Licenciatura en Biología,FBIOM-LIC-0063,FB5,2025-2,8,8,7,7,6,5
FBIOM,Licenciatura en Biología,FBIOM-LIC-0064,FB6,2025-2,7,7,5,4,6,4
FBIOM,Licenciatura en Biología,FBIOM-LIC-0065,FB5,2025-2,6,8,6,7,7,4
FBIOM,Licenciatura en Biología,FBIOM-LIC-0066,FB1,2025-2,8,5,5,8,4,8
FBIOM,Licenciatura en Biología,FBIOM-LIC-0067,FB8,2025-2,4,6,8,7,6,5
FBIOM,Licenciatura en Biología,FBIOM-LIC-0068,FB1,2025-2,7,6,9,7,5,5
FBIOM,Licenciatura en Biología,FBIOM-LIC-0069,FB1,2025-2,8,6,5,4,7,7
FBIOM,Licenciatura en Biología,FBIOM-LIC-0070,FB9,2025-2,7,6,8,8,8,4
FBIOM,Licenciatura en Biología,FBIOM-LIC-0071,FB2,2025-2,7,8,6,6,6,8
FBIOM,Licenciatura en Biología,FBIOM-LIC-0072,FB9,2025-2,8,6,8,8,6,7
FBIOM,Licenciatura en Biología,FBIOM-LIC-0073,FB6,2025-2,9,7,7,9,6,7
FBIOM,Licenciatura en Biología,FBIOM-LIC-0074,FB9,2025-2,5,8,8,6,6,7
FBIOM,Licenciatura en Biología,FBIOM-LIC-0075,FB5,2025-2,5,7,5,4,5,7
FBIOM,Licenciatura en Biología,FBIOM-LIC-0076,FB7,2025-2,7,8,5,4,6,8
FBIOM,Licenciatura en Biología,FBIOM-LIC-0077,FB6,2025-2,8,6,8,8,6,4
FBIOM,Licenciatura en Biología,FBIOM-LIC-0078,FB4,2025-2,6,5,7,5,7,7
FBIOM,Licenciatura en Biología,FBIOM-LIC-0079,FB2,2025-2,9,5,8,5,7,7
FBIOM,Licenciatura en Biología,FBIOM-LIC-0080,FB9,2025-2,5,9,6,8,4,5
FBIOM,Licenciatura en Biología,FBIOM-LIC-0081,FB9,2025-2,6,8,6,6,5,6
FBIOM,Licenciatura en Biología,FBIOM-LIC-0082,FB1,2025-2,6,7,6,6,4,5
FBIOM,Licenciatura en Biología,FBIOM-LIC-0083,FB8,2025-2,6,6,6,5,9,7
FBIOM,Licenciatura en Biología,FBIOM-LIC-0084,FB8,2025-2,6,7,4,7,5,7
FBIOM,Licenciatura en Biología,FBIOM-LIC-0085,FB1,2025-2,7,8,6,8,6,6
FBIOM,Licenciatura en Biología,FBIOM-LIC-0086,FB3,2025-2,4,7,7,6,4,4
FBIOM,Licenciatura en Biología,FBIOM-LIC-0087,FB4,2025-2,8,6,4,6,6,8
FBIOM,Licenciatura en Biología,FBIOM-LIC-0088,FB6,2025-2,5,9,6,9,9,5
FBIOM,Licenciatura en Biología,FBIOM-LIC-0089,FB7,2025-2,4,5,8,6,8,9
FBIOM,Licenciatura en Biología,FBIOM-LIC-0090,FB2,2025-2,7,5,8,6,6,4
FBIOM,Licenciatura en Biología,FBIOM-LIC-0091,FB7,2025-2,9,5,7,8,6,6
FBIOM,Licenciatura en Biología,FBIOM-LIC-0092,FB6,2025-2,5,6,9,5,6,7
FBIOM,Licenciatura en Biología,FBIOM-LIC-0093,FB7,2025-2,8,4,9,5,9,8
FBIOM,Licenciatura en Biología,FBIOM-LIC-0094,FB3,2025-2,7,6,7,4,7,7
FBIOM,Licenciatura en Biología,FBIOM-LIC-0095,FB6,2025-2,7,4,6,7,5,5
FBIOM,Licenciatura en Biología,FBIOM-LIC-0096,FB2,2025-2,5,8,7,6,6,7
FBIOM,Licenciatura en Biología,FBIOM-LIC-0097,FB2,2025-2,4,8,6,6,7,7
FBIOM,Licenciatura en Biología,FBIOM-LIC-0098,FB6,2025-2,8,5,9,8,6,8
FBIOM,Licenciatura en Biología,FBIOM-LIC-0099,FB3,2025-2,5,9,7,6,6,6
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0001,FB4,2025-2,6,8,8,5,9,7
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0002,FB9,2025-2,5,5,9,5,8,8
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0003,FB7,2025-2,8,5,5,6,5,8
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0004,FB7,2025-2,7,5,9,5,5,6
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0005,FB4,2025-2,8,6,5,5,7,5
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0006,FB4,2025-2,5,5,5,4,7,9
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0007,FB6,2025-2,5,8,7,7,6,7
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0008,FB1,2025-2,6,4,7,6,6,7
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0009,FB7,2025-2,5,8,9,8,4,7
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0010,FB8,2025-2,5,4,7,8,5,8
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0011,FB9,2025-2,9,5,9,6,7,4
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0012,FB5,2025-2,6,5,5,7,4,8
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0013,FB6,2025-2,4,4,6,6,8,5
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0014,FB2,2025-2,5,4,4,7,6,8
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0015,FB1,2025-2,7,7,4,5,7,5
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0016,FB9,2025-2,7,5,9,8,8,4
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0017,FB9,2025-2,4,7,7,8,7,6
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0018,FB2,2025-2,7,5,6,5,8,4
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0019,FB4,2025-2,5,8,6,6,5,6
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0020,FB1,2025-2,6,6,4,9,4,7
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0021,FB1,2025-2,6,8,5,7,6,5
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0022,FB3,2025-2,5,5,8,5,7,5
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0023,FB9,2025-2,5,4,4,9,8,9
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0024,FB4,2025-2,7,7,9,6,7,6
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0025,FB3,2025-2,6,6,8,9,6,4
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0026,FB4,2025-2,5,9,4,7,5,8
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0027,FB7,2025-2,8,8,6,7,8,6
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0028,FB6,2025-2,5,8,7,5,7,7
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0029,FB8,2025-2,4,7,5,4,7,6
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0030,FB3,2025-2,7,7,7,8,8,7
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0031,FB2,2025-2,6,4,9,5,6,7
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0032,FB5,2025-2,4,5,8,7,5,4
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0033,FB7,2025-2,6,7,7,7,6,6
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0034,FB9,2025-2,7,6,6,5,8,6
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0035,FB2,2025-2,8,5,5,5,7,6
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0036,FB4,2025-2,6,6,6,6,5,6
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0037,FB8,2025-2,8,5,5,6,8,8
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0038,FB3,2025-2,5,5,5,5,7,4
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0039,FB2,2025-2,7,6,8,7,5,7
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0040,FB5,2025-2,8,6,7,6,4,5
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0041,FB3,2025-2,6,5,5,6,6,9
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0042,FB1,2025-2,6,8,7,7,6,8
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0043,FB6,2025-2,6,4,7,7,8,5
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0044,FB9,2025-2,8,6,6,5,6,6
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0045,FB1,2025-2,8,8,9,8,9,8
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0046,FB7,2025-2,7,8,4,4,8,5
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0047,FB8,2025-2,6,7,9,5,8,5
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0048,FB1,2025-2,6,6,7,9,8,9
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0049,FB7,2025-2,9,8,6,6,7,8
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0050,FB9,2025-2,4,6,7,7,8,6
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0051,FB3,2025-2,8,5,8,6,5,6
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0052,FB9,2025-2,5,7,8,8,8,6
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0053,FB5,2025-2,6,5,4,7,9,5
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0054,FB6,2025-2,6,5,9,7,5,7
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0055,FB8,2025-2,7,6,7,6,5,7
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0056,FB6,2025-2,7,8,4,7,6,5
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0057,FB8,2025-2,8,5,8,4,9,7
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0058,FB1,2025-2,8,4,5,7,8,9
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0059,FB4,2025-2,8,6,8,7,8,6
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0060,FB8,2025-2,5,8,7,6,9,4
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0061,FB2,2025-2,9,8,8,6,5,8
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0062,FB7,2025-2,7,5,7,9,6,7
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0063,FB6,2025-2,8,7,5,8,8,6
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0064,FB4,2025-2,7,4,9,9,5,7
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0065,FB9,2025-2,8,6,7,6,5,6
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0066,FB7,2025-2,7,4,7,8,8,8
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0067,FB7,2025-2,6,7,4,4,6,6
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0068,FB2,2025-2,6,5,8,7,5,6
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0069,FB4,2025-2,7,4,5,4,8,8
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0070,FB1,2025-2,5,5,8,5,8,8
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0071,FB5,2025-2,5,6,7,4,8,8
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0072,FB5,2025-2,6,8,7,8,7,7
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0073,FB1,2025-2,9,4,4,9,7,7
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0074,FB8,2025-2,8,6,5,5,7,8
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0075,FB9,2025-2,5,8,7,5,6,8
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0076,FB4,2025-2,5,8,4,4,7,7
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0077,FB7,2025-2,4,7,8,7,8,4
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0078,FB7,2025-2,5,6,4,9,5,9
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0079,FB3,2025-2,7,9,4,8,9,5
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0080,FB7,2025-2,6,9,7,7,5,4
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0081,FB2,2025-2,4,7,9,5,7,4
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0082,FB5,2025-2,5,8,9,6,6,4
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0083,FB2,2025-2,9,5,6,8,8,7
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0084,FB6,2025-2,9,7,7,4,4,7
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0085,FB9,2025-2,9,7,8,8,7,6
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0086,FB6,2025-2,8,5,6,6,4,6
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0087,FB7,2025-2,8,6,9,7,5,7
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0088,FB8,2025-2,5,6,8,7,7,6
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0089,FB1,2025-2,6,7,8,4,9,5
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0090,FB7,2025-2,5,4,5,9,6,5
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0091,FB5,2025-2,9,5,7,8,5,6
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0092,FB3,2025-2,5,6,5,7,5,9
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0093,FB2,2025-2,6,6,8,6,8,9
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0094,FB9,2025-2,6,6,5,8,4,7
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0095,FB1,2025-2,5,9,8,6,6,5
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0096,FB3,2025-2,5,7,8,5,8,4
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0097,FB4,2025-2,5,7,5,8,7,5
FBIOM,Licenciatura en Microbiología,FBIOM-LIC-0098,FB7,2025-2,5,5,5,4,5,4
FBIOM,Bioquímica,FBIOM-BIO-0001,FB9,2025-2,6,9,5,6,6,4
FBIOM,Bioquímica,FBIOM-BIO-0002,FB8,2025-2,8,8,6,7,8,4
FBIOM,Bioquímica,FBIOM-BIO-0003,FB4,2025-2,5,6,6,8,4,7
FBIOM,Bioquímica,FBIOM-BIO-0004,FB3,2025-2,5,8,5,6,6,6
FBIOM,Bioquímica,FBIOM-BIO-0005,FB1,2025-2,7,8,6,6,8,8
FBIOM,Bioquímica,FBIOM-BIO-0006,FB9,2025-2,6,6,6,6,8,8
FBIOM,Bioquímica,FBIOM-BIO-0007,FB1,2025-2,9,5,8,6,6,8
FBIOM,Bioquímica,FBIOM-BIO-0008,FB6,2025-2,8,6,7,7,8,6
FBIOM,Bioquímica,FBIOM-BIO-0009,FB4,2025-2,5,6,9,4,6,6
FBIOM,Bioquímica,FBIOM-BIO-0010,FB3,2025-2,8,8,8,5,8,8
FBIOM,Bioquímica,FBIOM-BIO-0011,FB8,2025-2,4,6,5,6,9,8
FBIOM,Bioquímica,FBIOM-BIO-0012,FB8,2025-2,6,7,9,5,6,5
FBIOM,Bioquímica,FBIOM-BIO-0013,FB7,2025-2,7,6,5,4,7,8
FBIOM,Bioquímica,FBIOM-BIO-0014,FB6,2025-2,7,7,8,5,4,8
FBIOM,Bioquímica,FBIOM-BIO-0015,FB8,2025-2,5,6,7,4,5,4
FBIOM,Bioquímica,FBIOM-BIO-0016,FB3,2025-2,8,9,7,5,9,7
FBIOM,Bioquímica,FBIOM-BIO-0017,FB1,2025-2,9,8,8,8,5,5
FBIOM,Bioquímica,FBIOM-BIO-0018,FB8,2025-2,6,6,6,8,5,7
FBIOM,Bioquímica,FBIOM-BIO-0019,FB9,2025-2,7,9,7,7,9,7
FBIOM,Bioquímica,FBIOM-BIO-0020,FB3,2025-2,6,9,5,8,7,4
FBIOM,Bioquímica,FBIOM-BIO-0021,FB8,2025-2,7,6,8,5,7,4
FBIOM,Bioquímica,FBIOM-BIO-0022,FB9,2025-2,7,8,6,7,6,6
FBIOM,Bioquímica,FBIOM-BIO-0023,FB6,2025-2,7,6,8,6,8,8
FBIOM,Bioquímica,FBIOM-BIO-0024,FB9,2025-2,5,6,8,5,7,8
FBIOM,Bioquímica,FBIOM-BIO-0025,FB2,2025-2,6,8,8,8,8,5
FBIOM,Bioquímica,FBIOM-BIO-0026,FB6,2025-2,6,9,9,5,4,8
FBIOM,Bioquímica,FBIOM-BIO-0027,FB1,2025-2,5,8,4,8,5,5
FBIOM,Bioquímica,FBIOM-BIO-0028,FB9,2025-2,8,9,7,8,6,5
FBIOM,Bioquímica,FBIOM-BIO-0029,FB5,2025-2,6,7,7,5,9,5
FBIOM,Bioquímica,FBIOM-BIO-0030,FB5,2025-2,5,4,5,8,5,5
FBIOM,Bioquímica,FBIOM-BIO-0031,FB2,2025-2,8,4,6,5,7,8
FBIOM,Bioquímica,FBIOM-BIO-0032,FB9,2025-2,6,5,5,5,7,7
FBIOM,Bioquímica,FBIOM-BIO-0033,FB1,2025-2,6,8,5,5,6,5
FBIOM,Bioquímica,FBIOM-BIO-0034,FB6,2025-2,5,6,9,6,8,5
FBIOM,Bioquímica,FBIOM-BIO-0035,FB4,2025-2,8,9,6,4,8,7
FBIOM,Bioquímica,FBIOM-BIO-0036,FB3,2025-2,6,5,7,7,5,8
FBIOM,Bioquímica,FBIOM-BIO-0037,FB1,2025-2,6,6,8,6,8,7
FBIOM,Bioquímica,FBIOM-BIO-0038,FB2,2025-2,9,7,9,4,6,5
FBIOM,Bioquímica,FBIOM-BIO-0039,FB9,2025-2,8,5,8,7,9,6
FBIOM,Bioquímica,FBIOM-BIO-0040,FB6,2025-2,4,6,9,7,5,5
FBIOM,Bioquímica,FBIOM-BIO-0041,FB3,2025-2,4,7,8,5,6,8
FBIOM,Bioquímica,FBIOM-BIO-0042,FB9,2025-2,5,7,5,8,5,8
FBIOM,Bioquímica,FBIOM-BIO-0043,FB3,2025-2,8,6,6,8,9,5
FBIOM,Bioquímica,FBIOM-BIO-0044,FB1,2025-2,6,6,6,4,7,6
FBIOM,Bioquímica,FBIOM-BIO-0045,FB1,2025-2,8,8,6,5,7,5
FBIOM,Bioquímica,FBIOM-BIO-0046,FB8,2025-2,5,5,4,8,5,4
FBIOM,Bioquímica,FBIOM-BIO-0047,FB5,2025-2,6,9,7,5,6,6
FBIOM,Bioquímica,FBIOM-BIO-0048,FB6,2025-2,6,6,5,6,6,7
FBIOM,Bioquímica,FBIOM-BIO-0049,FB8,2025-2,7,7,4,9,5,6
FBIOM,Bioquímica,FBIOM-BIO-0050,FB1,2025-2,5,4,6,5,5,8
FBIOM,Bioquímica,FBIOM-BIO-0051,FB5,2025-2,8,8,6,5,7,9
FBIOM,Bioquímica,FBIOM-BIO-0052,FB5,2025-2,8,8,5,4,8,6
FBIOM,Bioquímica,FBIOM-BIO-0053,FB3,2025-2,7,9,8,6,4,6
FBIOM,Bioquímica,FBIOM-BIO-0054,FB7,2025-2,8,7,4,7,8,8
FBIOM,Bioquímica,FBIOM-BIO-0055,FB4,2025-2,4,4,6,7,8,6
FBIOM,Bioquímica,FBIOM-BIO-0056,FB5,2025-2,6,7,4,6,8,8
FBIOM,Bioquímica,FBIOM-BIO-0057,FB2,2025-2,5,5,9,5,5,5
FBIOM,Bioquímica,FBIOM-BIO-0058,FB8,2025-2,8,4,5,8,4,8
FBIOM,Bioquímica,FBIOM-BIO-0059,FB7,2025-2,7,6,8,4,8,6
FBIOM,Bioquímica,FBIOM-BIO-0060,FB9,2025-2,7,5,4,5,7,5
FBIOM,Bioquímica,FBIOM-BIO-0061,FB8,2025-2,9,8,6,7,8,6
FBIOM,Bioquímica,FBIOM-BIO-0062,FB5,2025-2,9,7,4,5,8,8
FBIOM,Bioquímica,FBIOM-BIO-0063,FB3,2025-2,9,7,5,4,6,7
FBIOM,Bioquímica,FBIOM-BIO-0064,FB6,2025-2,5,4,5,5,6,6
FBIOM,Bioquímica,FBIOM-BIO-0065,FB3,2025-2,7,9,7,8,9,9
FBIOM,Bioquímica,FBIOM-BIO-0066,FB3,2025-2,8,8,8,6,5,7
FBIOM,Bioquímica,FBIOM-BIO-0067,FB8,2025-2,7,8,5,7,8,7
FBIOM,Bioquímica,FBIOM-BIO-0068,FB8,2025-2,6,8,7,8,6,8
FBIOM,Bioquímica,FBIOM-BIO-0069,FB4,2025-2,9,6,6,8,8,7
FBIOM,Bioquímica,FBIOM-BIO-0070,FB7,2025-2,4,8,4,8,8,4
FBIOM,Bioquímica,FBIOM-BIO-0071,FB5,2025-2,8,4,8,7,5,6
FBIOM,Bioquímica,FBIOM-BIO-0072,FB9,2025-2,7,4,5,8,5,5
FBIOM,Bioquímica,FBIOM-BIO-0073,FB6,2025-2,7,8,7,9,8,6
FBIOM,Bioquímica,FBIOM-BIO-0074,FB3,2025-2,5,6,6,8,7,6
FBIOM,Bioquímica,FBIOM-BIO-0075,FB8,2025-2,7,6,7,5,7,8
FBIOM,Bioquímica,FBIOM-BIO-0076,FB6,2025-2,9,6,7,4,7,4
FBIOM,Bioquímica,FBIOM-BIO-0077,FB3,2025-2,8,5,4,7,6,5
FBIOM,Bioquímica,FBIOM-BIO-0078,FB5,2025-2,6,9,7,7,6,5
FBIOM,Bioquímica,FBIOM-BIO-0079,FB7,2025-2,6,4,4,7,6,9
FBIOM,Bioquímica,FBIOM-BIO-0080,FB3,2025-2,6,5,4,8,7,8
FBIOM,Bioquímica,FBIOM-BIO-0081,FB3,2025-2,6,6,7,9,6,8
FBIOM,Bioquímica,FBIOM-BIO-0082,FB8,2025-2,5,9,6,5,5,7
FBIOM,Bioquímica,FBIOM-BIO-0083,FB8,2025-2,5,6,6,5,6,8
FBIOM,Bioquímica,FBIOM-BIO-0084,FB4,2025-2,6,5,5,7,6,5
FBIOM,Bioquímica,FBIOM-BIO-0085,FB1,2025-2,7,8,5,8,7,5
FBIOM,Bioquímica,FBIOM-BIO-0086,FB3,2025-2,6,9,5,7,6,9
FBIOM,Bioquímica,FBIOM-BIO-0087,FB8,2025-2,8,7,8,7,7,9
FBIOM,Bioquímica,FBIOM-BIO-0088,FB5,2025-2,6,7,5,4,5,5
FBIOM,Bioquímica,FBIOM-BIO-0089,FB4,2025-2,5,8,8,4,7,7
FBIOM,Bioquímica,FBIOM-BIO-0090,FB6,2025-2,6,5,6,6,4,5
FBIOM,Bioquímica,FBIOM-BIO-0091,FB8,2025-2,7,5,5,8,5,6
FBIOM,Bioquímica,FBIOM-BIO-0092,FB1,2025-2,9,9,7,5,6,6
FBIOM,Bioquímica,FBIOM-BIO-0093,FB6,2025-2,9,7,7,8,5,6
FBIOM,Bioquímica,FBIOM-BIO-0094,FB8,2025-2,5,5,7,8,7,6
FBIOM,Bioquímica,FBIOM-BIO-0095,FB9,2025-2,6,5,6,5,6,8
FBIOM,Bioquímica,FBIOM-BIO-0096,FB5,2025-2,6,7,4,6,8,7
FBIOM,Bioquímica,FBIOM-BIO-0097,FB8,2025-2,9,4,6,6,7,5
FBIOM,Bioquímica,FBIOM-BIO-0098,FB4,2025-2,9,8,7,8,5,8
FHS,Licenciatura en Historia,FHS-LIC-0001,FH8,2025-2,6,7,8,6,6,4
FHS,Licenciatura en Historia,FHS-LIC-0002,FH1,2025-2,6,6,7,4,7,8
FHS,Licenciatura en Historia,FHS-LIC-0003,FH9,2025-2,5,8,7,8,6,7
FHS,Licenciatura en Historia,FHS-LIC-0004,FH4,2025-2,8,6,5,6,6,5
FHS,Licenciatura en Historia,FHS-LIC-0005,FH2,2025-2,5,9,5,6,7,5
FHS,Licenciatura en Historia,FHS-LIC-0006,FH2,2025-2,8,8,5,6,6,8
FHS,Licenciatura en Historia,FHS-LIC-0007,FH9,2025-2,8,7,6,5,8,7
FHS,Licenciatura en Historia,FHS-LIC-0008,FH5,2025-2,4,6,6,4,6,8
FHS,Licenciatura en Historia,FHS-LIC-0009,FH8,2025-2,6,6,7,5,7,8
FHS,Licenciatura en Historia,FHS-LIC-0010,FH7,2025-2,9,9,5,5,9,9
FHS,Licenciatura en Historia,FHS-LIC-0011,FH5,2025-2,5,8,7,9,7,8
FHS,Licenciatura en Historia,FHS-LIC-0012,FH9,2025-2,8,5,7,7,5,4
FHS,Licenciatura en Historia,FHS-LIC-0013,FH3,2025-2,8,8,6,7,7,8
FHS,Licenciatura en Historia,FHS-LIC-0014,FH5,2025-2,7,7,6,6,9,7
FHS,Licenciatura en Historia,FHS-LIC-0015,FH5,2025-2,5,6,5,7,6,6
FHS,Licenciatura en Historia,FHS-LIC-0016,FH4,2025-2,5,5,8,6,6,4
FHS,Licenciatura en Historia,FHS-LIC-0017,FH4,2025-2,9,9,4,5,7,4
FHS,Licenciatura en Historia,FHS-LIC-0018,FH3,2025-2,9,5,6,5,4,6
FHS,Licenciatura en Historia,FHS-LIC-0019,FH3,2025-2,8,7,5,4,8,5
FHS,Licenciatura en Historia,FHS-LIC-0020,FH1,2025-2,6,7,6,4,5,5
FHS,Licenciatura en Historia,FHS-LIC-0021,FH8,2025-2,8,4,5,4,6,4
FHS,Licenciatura en Historia,FHS-LIC-0022,FH8,2025-2,6,7,9,8,6,5
FHS,Licenciatura en Historia,FHS-LIC-0023,FH6,2025-2,8,9,8,7,5,7
FHS,Licenciatura en Historia,FHS-LIC-0024,FH2,2025-2,7,6,8,8,7,7
FHS,Licenciatura en Historia,FHS-LIC-0025,FH5,2025-2,9,8,7,8,8,9
